Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA
Nota,"à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP."
Fonte,Cepea
Data,À vista R$,À vista US$
13/02/2015,"27,97","9,87"
18/02/2015,"28,04","9,86"
19/02/2015,"28,18","9,84"
20/02/2015,"28,35","9,87"
23/02/2015,"28,77","10,01"
24/02/2015,"28,84","10,18"
25/02/2015,"28,94","10,09"
26/02/2015,"29,03","10,09"
27/02/2015,"28,96","10,14"
02/03/2015,"29,31","10,13"
03/03/2015,"29,34","10,05"
04/03/2015,"29,46","9,89"
05/03/2015,"29,44","9,78"
06/03/2015,"29,42","9,65"
09/03/2015,"29,49","9,44"
10/03/2015,"29,64","9,53"
11/03/2015,"29,67","9,49"
12/03/2015,"29,70","9,42"
13/03/2015,"29,65","9,09"
16/03/2015,"29,61","9,12"
17/03/2015,"29,56","9,11"
18/03/2015,"29,53","9,18"
19/03/2015,"29,77","9,03"
20/03/2015,"29,67","9,17"
23/03/2015,"29,44","9,34"
24/03/2015,"29,12","9,32"
25/03/2015,"29,05","9,09"
26/03/2015,"29,09","9,12"
27/03/2015,"29,10","8,99"
30/03/2015,"29,13","9,05"
31/03/2015,"29,38","9,18"
01/04/2015,"29,30","9,24"
02/04/2015,"29,28","9,36"
06/04/2015,"28,95","9,26"
07/04/2015,"28,69","9,19"
08/04/2015,"28,54","9,34"
09/04/2015,"28,47","9,28"
10/04/2015,"28,35","9,18"
13/04/2015,"28,17","9,03"
14/04/2015,"27,73","9,06"
15/04/2015,"27,46","9,03"
16/04/2015,"27,40","9,10"
17/04/2015,"27,08","8,90"
20/04/2015,"27,08","8,96"
22/04/2015,"26,99","8,96"
23/04/2015,"26,93","9,04"
24/04/2015,"26,73","9,04"
27/04/2015,"26,56","9,10"
28/04/2015,"26,36","8,97"
29/04/2015,"26,20","8,87"
30/04/2015,"25,98","8,63"
04/05/2015,"25,91","8,39"
05/05/2015,"25,82","8,40"
06/05/2015,"25,79","8,47"
07/05/2015,"25,64","8,48"
08/05/2015,"25,63","8,60"
11/05/2015,"25,62","8,40"
12/05/2015,"25,62","8,47"
13/05/2015,"25,42","8,36"
14/05/2015,"25,39","8,48"
15/05/2015,"25,28","8,44"
18/05/2015,"25,26","8,37"
19/05/2015,"24,99","8,22"
20/05/2015,"24,97","8,31"
21/05/2015,"25,13","8,26"
22/05/2015,"25,11","8,13"
25/05/2015,"25,07","8,09"
26/05/2015,"25,28","8,02"
27/05/2015,"24,96","7,94"
28/05/2015,"24,94","7,89"
29/05/2015,"24,91","7,82"
01/06/2015,"25,00","7,87"
02/06/2015,"24,79","7,91"
03/06/2015,"24,82","7,92"
05/06/2015,"24,85","7,89"
08/06/2015,"24,85","7,98"
09/06/2015,"24,65","7,96"
10/06/2015,"24,81","7,96"
11/06/2015,"24,89","8,02"
12/06/2015,"24,79","7,96"
15/06/2015,"24,91","7,96"
16/06/2015,"25,16","8,14"
17/06/2015,"25,19","8,23"
18/06/2015,"25,09","8,21"
19/06/2015,"25,00","8,06"
22/06/2015,"25,03","8,12"
23/06/2015,"25,16","8,16"
24/06/2015,"25,10","8,11"
25/06/2015,"25,26","8,10"
26/06/2015,"25,51","8,16"
29/06/2015,"25,29","8,12"
30/06/2015,"25,48","8,20"
01/07/2015,"25,46","8,10"
02/07/2015,"25,42","8,20"
03/07/2015,"25,51","8,13"
06/07/2015,"25,35","8,05"
07/07/2015,"25,54","8,02"
08/07/2015,"25,76","7,98"
09/07/2015,"25,84","8,00"
10/07/2015,"26,04","8,22"
13/07/2015,"25,61","8,17"
14/07/2015,"26,51","8,45"
15/07/2015,"26,57","8,48"
16/07/2015,"26,35","8,36"
17/07/2015,"26,53","8,31"
20/07/2015,"26,46","8,27"
21/07/2015,"26,78","8,45"
22/07/2015,"26,26","8,14"
23/07/2015,"26,16","7,95"
24/07/2015,"26,23","7,83"
27/07/2015,"25,92","7,71"
28/07/2015,"25,80","7,66"
29/07/2015,"25,95","7,79"
30/07/2015,"25,87","7,65"
31/07/2015,"25,93","7,59"
03/08/2015,"26,16","7,58"
04/08/2015,"26,48","7,65"
05/08/2015,"26,58","7,62"
06/08/2015,"27,08","7,66"
07/08/2015,"27,60","7,86"
10/08/2015,"27,56","7,99"
11/08/2015,"27,86","7,96"
12/08/2015,"27,58","7,94"
13/08/2015,"27,63","7,88"
14/08/2015,"27,38","7,86"
17/08/2015,"27,39","7,86"
18/08/2015,"27,09","7,81"
19/08/2015,"27,34","7,85"
20/08/2015,"27,50","7,97"
21/08/2015,"27,38","7,84"
24/08/2015,"27,60","7,76"
25/08/2015,"27,69","7,71"
26/08/2015,"27,65","7,67"
27/08/2015,"27,85","7,82"
28/08/2015,"27,91","7,79"
31/08/2015,"28,16","7,75"
01/09/2015,"28,69","7,77"
02/09/2015,"29,05","7,74"
03/09/2015,"29,20","7,78"
04/09/2015,"29,55","7,68"
08/09/2015,"29,61","7,76"
09/09/2015,"29,61","7,80"
10/09/2015,"29,95","7,76"
11/09/2015,"30,26","7,80"
14/09/2015,"30,61","8,02"
15/09/2015,"30,99","8,04"
16/09/2015,"31,36","8,18"
17/09/2015,"31,42","8,14"
18/09/2015,"31,40","7,95"
21/09/2015,"31,38","7,89"
22/09/2015,"31,73","7,84"
23/09/2015,"31,98","7,74"
24/09/2015,"32,62","8,06"
25/09/2015,"32,51","8,19"
28/09/2015,"32,96","8,08"
29/09/2015,"33,19","8,17"
30/09/2015,"33,69","8,48"
01/10/2015,"33,52","8,40"
02/10/2015,"33,36","8,46"
05/10/2015,"33,43","8,57"
06/10/2015,"33,21","8,64"
07/10/2015,"33,02","8,52"
08/10/2015,"32,76","8,60"
09/10/2015,"32,36","8,63"
13/10/2015,"32,32","8,35"
14/10/2015,"32,31","8,46"
15/10/2015,"32,17","8,47"
16/10/2015,"32,08","8,35"
19/10/2015,"32,13","8,26"
20/10/2015,"32,20","8,24"
21/10/2015,"32,53","8,25"
22/10/2015,"32,76","8,35"
23/10/2015,"32,86","8,46"
26/10/2015,"32,84","8,39"
27/10/2015,"33,04","8,48"
28/10/2015,"33,03","8,42"
29/10/2015,"33,45","8,67"
30/10/2015,"33,97","8,79"
03/11/2015,"33,69","8,95"
04/11/2015,"33,68","8,86"
05/11/2015,"33,59","8,89"
06/11/2015,"33,77","8,93"
09/11/2015,"33,83","8,90"
10/11/2015,"33,98","8,96"
11/11/2015,"33,83","8,97"
12/11/2015,"33,99","9,03"
13/11/2015,"33,82","8,83"
16/11/2015,"33,67","8,83"
17/11/2015,"33,30","8,71"
18/11/2015,"33,28","8,81"
19/11/2015,"33,35","8,91"
20/11/2015,"33,52","9,07"
23/11/2015,"33,45","8,96"
24/11/2015,"33,58","9,08"
25/11/2015,"33,38","8,90"
26/11/2015,"33,14","8,84"
27/11/2015,"33,24","8,73"
